outcome,event_id,post_event,mean,n,std
fk_grade,AFG2009,0,13.571697911447249,4,2.8602797144612784
fk_grade,AFG2009,1,10.838687604852494,16,1.6735317906403318
fk_grade,IRQ2014,0,5.3165301959217,1,
fk_grade,IRQ2014,1,11.372376219304929,4,2.03623460246495
fk_grade,IRQ2016,1,16.657282608695656,1,
fk_grade,LBY2011,0,12.793763514588283,3,0.43662672624382337
fk_grade,LBY2011,1,11.669969965458144,6,1.0127442848802648
fk_grade,PAK2011,1,11.039754169315954,17,1.6139788655804315
fk_grade,SYR2013,1,12.065742160119454,6,2.8586876316130083
avg_rarity,AFG2009,0,6.912722516179598,4,0.1660082260200709
avg_rarity,AFG2009,1,6.771952882794371,16,0.16365660064772072
avg_rarity,IRQ2014,0,6.8460800109880795,1,
avg_rarity,IRQ2014,1,6.931934234643755,4,0.1427194454829904
avg_rarity,IRQ2016,1,8.424187311699834,1,
avg_rarity,LBY2011,0,6.915105567695548,3,0.16424863450686683
avg_rarity,LBY2011,1,6.812674826951496,6,0.22510562770139148
avg_rarity,PAK2011,1,6.810112806890802,17,0.30764433464126395
avg_rarity,SYR2013,1,6.884197235539932,6,0.15665473386706846
rare_share,AFG2009,0,0.1174937234676864,4,0.011902710657687344
rare_share,AFG2009,1,0.11057917620378588,16,0.009501124960744504
rare_share,IRQ2014,0,0.1017632241813602,1,
rare_share,IRQ2014,1,0.1108919400848187,4,0.009743871785169085
rare_share,IRQ2016,1,0.11016949152542373,1,
rare_share,LBY2011,0,0.11279440031033074,3,0.005317115459543338
rare_share,LBY2011,1,0.10944884201970762,6,0.004697114535910694
rare_share,PAK2011,1,0.10956094223051631,17,0.008727808804091058
rare_share,SYR2013,1,0.10991101943445335,6,0.007291233850096265
dale_chall,AFG2009,0,10.994100879093635,4,0.6866643765623337
dale_chall,AFG2009,1,10.452841749130684,16,0.6312489194292716
dale_chall,IRQ2014,0,7.6949242177980945,1,
dale_chall,IRQ2014,1,10.58267182587526,4,0.5318646680748798
dale_chall,IRQ2016,1,16.32145652173913,1,
dale_chall,LBY2011,0,11.015245395141052,3,0.08801362686773759
dale_chall,LBY2011,1,10.731495934680531,6,0.4168659758155006
dale_chall,PAK2011,1,10.175150829005066,17,0.7543942884893685
dale_chall,SYR2013,1,10.91359190692195,6,0.8433370397141697
avg_sentence_len,AFG2009,0,22.48290481950523,4,3.9617795523636445
avg_sentence_len,AFG2009,1,16.962119714843457,16,3.966054296862377
avg_sentence_len,IRQ2014,0,11.416216216216217,1,
avg_sentence_len,IRQ2014,1,16.020951704545453,4,4.611628189746672
avg_sentence_len,IRQ2016,1,29.25,1,
avg_sentence_len,LBY2011,0,20.984707561359844,3,2.1815684832937126
avg_sentence_len,LBY2011,1,18.93053742484098,6,2.637559044810132
avg_sentence_len,PAK2011,1,17.88632229719285,17,3.9837870442697048
avg_sentence_len,SYR2013,1,18.648930296756383,6,6.835925186299564
ttr,AFG2009,0,0.5381372492567829,4,0.09752288791859609
ttr,AFG2009,1,0.48725964691747764,16,0.06859267030938167
ttr,IRQ2014,0,0.3787878787878788,1,
ttr,IRQ2014,1,0.5986955788275019,4,0.08026500261022003
ttr,IRQ2016,1,0.5128205128205128,1,
ttr,LBY2011,0,0.37342846303092453,3,0.04772064702942376
ttr,LBY2011,1,0.44173418053148517,6,0.08725436847848661
ttr,PAK2011,1,0.45764229131643797,17,0.11637283206812286
ttr,SYR2013,1,0.5234695173323151,6,0.07303592916746059
